"efternamn","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Ekström",10457,10464,10449,10454,10449,10452,10487,10496,10504,10514,10527,10604,10614,10626,10584,10559,10573,10538,10510,10425,10400,10374,10329,10329,10340,10351,10314,10291,10291,10308,10325,10298,10279,10284,10294,10285,10240,10206,10176,10136
"Eliasson",12676,12611,12625,12598,12560,12527,12546,12525,12492,12526,12505,12532,12577,12581,12583,12558,12545,12501,12423,12367,12317,12286,12209,12146,12105,12044,11994,11953,11911,11872,11828,11749,11711,11665,11621,11527,11479,11367,11266,11187
"Engström",16000,15972,15951,15924,15944,15995,15999,16023,16035,16091,16158,16165,16176,16168,16172,16160,16099,16052,15955,15939,15881,15851,15848,15830,15782,15794,15740,15713,15643,15606,15579,15565,15547,15497,15482,15491,15518,15445,15389,15320
"Eriksson",182917,182094,181328,180009,178947,178043,177206,176366,175523,174588,174090,173398,172769,172007,171272,170342,169132,167744,166236,164996,163670,162401,161174,159985,158692,157417,156051,154651,153287,151856,150296,148969,147514,145981,144657,143219,141745,140039,138221,136533
"Falk",..,..,..,..,..,..,8372,..,..,..,8607,..,..,8768,8822,8910,8926,8963,8972,8971,9015,9043,9122,9169,9209,9234,9287,9358,9390,9447,9521,9573,9640,9727,9802,9870,9948,9983,10008,10054
"Forsberg",16730,16710,16742,16733,16710,16729,16716,16747,16757,16812,16847,16857,16954,16951,16992,16969,17016,16964,16936,16887,16849,16831,16820,16783,16756,16710,16686,16694,16700,16721,16715,16676,16671,16639,16615,16629,16568,16515,16418,16335
"Fransson",16649,16585,16516,16433,16385,16352,16389,16329,16350,16312,16260,16273,16290,16265,16205,16096,16040,15971,15854,15732,15663,15570,15438,15347,15230,15116,15035,14929,14807,14719,14570,14446,14345,14252,14168,14048,13915,13752,13616,13432
"Fredriksson",20588,20514,20482,20362,20273,20222,20172,20158,20161,20161,20165,20152,20186,20132,20061,19995,19951,19919,19762,19732,19638,19571,19465,19375,19338,19244,19156,19060,18946,18875,18745,18651,18535,18400,18292,18203,18108,17994,17839,17691
"Gunnarsson",12891,13052,13169,13246,13382,13499,13651,13744,13871,14008,14154,14237,14383,14462,14558,14669,14720,14740,14784,14853,14883,14911,14931,14932,14947,14923,14941,14875,14842,14764,14714,14688,14611,14540,14478,14389,14349,14234,14127,14017
"Gustafsson",123542,123116,122517,121659,121112,120507,119897,119270,118644,118128,117735,117196,116871,116154,115526,114685,113810,112925,111809,110732,109636,108726,107859,106928,105977,104925,103871,102818,101695,100668,99693,98592,97536,96380,95371,94403,93399,92195,90814,89534
